annual_income,age,total_debt,debt_to_income,credit_utilization,num_open_accounts,num_late_payments_2yrs,years_credit_history,loan_amount_requested,employment_years,creditworthy
52687.03,51,12454.92,0.2364,0.4709,1,2,9.32,8639.63,7.45,0
48977.93,60,21506.44,0.4391,0.251,1,1,9.96,7938.44,4.47,1
25429.56,35,10945.47,0.4304,0.6391,7,0,3.13,500.0,9.07,0
40603.12,53,15026.78,0.3701,0.3976,1,1,7.37,2273.55,14.53,1
45787.22,40,11704.28,0.2556,0.1864,4,2,10.0,16694.57,3.13,0
76142.44,62,9513.38,0.1249,0.1404,9,0,15.18,8491.69,5.27,1
61872.37,32,6730.66,0.1088,0.2079,3,0,5.55,17347.98,5.59,1
19739.2,57,20612.28,1.0442,0.2351,5,3,4.64,500.0,20.52,0
61481.68,29,30727.27,0.4998,0.1585,3,0,10.73,18490.61,6.27,1
47298.35,43,29053.22,0.6143,0.4637,1,2,22.89,11682.76,0.97,0
41461.56,28,0.0,0.0,0.1425,5,1,6.99,500.0,11.3,1
67233.53,52,30470.44,0.4532,0.2946,4,1,10.2,21033.53,5.12,1
75619.99,34,11182.1,0.1479,0.4261,7,2,6.84,746.72,1.86,0
73625.6,47,22208.8,0.3016,0.2187,3,1,18.43,20618.41,10.74,0
38215.65,45,4125.42,0.108,0.2731,4,1,3.32,11741.48,6.96,0
48815.75,33,16703.76,0.3422,0.497,8,0,7.25,4850.67,3.83,0
61625.27,41,18764.68,0.3045,0.0619,3,1,11.34,26787.24,8.33,1
74510.9,51,0.0,0.0,0.1509,5,1,1.21,15241.84,14.89,1
45416.52,57,22299.21,0.491,0.4504,9,1,10.86,21717.86,1.85,0
51286.82,63,31151.22,0.6074,0.0343,4,1,5.03,15460.74,14.22,0
32873.3,25,12904.22,0.3925,0.4192,7,2,5.09,10268.45,2.38,0
31075.87,33,31322.02,1.0079,0.6988,4,0,31.12,5034.06,3.76,0
71250.52,48,12723.68,0.1786,0.0513,5,5,7.85,10550.4,5.28,1
82124.8,63,25195.01,0.3068,0.1378,5,0,12.13,13307.36,3.52,1
53559.8,45,0.0,0.0,0.4825,1,1,3.58,18532.92,7.43,0
75070.66,55,44025.33,0.5865,0.1731,5,2,11.47,8854.87,5.96,0
62232.72,59,32945.5,0.5294,0.2033,4,4,8.76,16108.35,3.44,1
42097.6,27,11584.49,0.2752,0.3721,4,1,9.42,25427.96,3.19,0
62227.91,58,0.0,0.0,0.2449,6,2,7.91,13265.66,4.6,1
85760.73,52,18456.34,0.2152,0.1509,3,1,4.1,500.0,8.05,0
54283.48,23,0.0,0.0,0.2149,3,3,3.72,12388.03,6.12,1
86292.87,59,20338.24,0.2357,0.0847,7,0,8.06,11242.43,4.33,1
12000.0,57,19938.79,1.6616,0.0482,3,2,16.12,10989.22,5.35,0
71438.05,42,3703.16,0.0518,0.2852,4,2,5.54,500.0,2.42,1
56740.94,28,28451.6,0.5014,0.1941,2,1,18.81,14211.74,7.41,1
49019.85,37,24666.9,0.5032,0.0645,5,2,10.3,7744.88,13.03,0
56835.22,47,26709.88,0.47,0.1482,6,0,9.04,11155.75,3.83,0
15248.62,53,15106.29,0.9907,0.1201,2,0,8.4,19584.03,3.73,0
50606.56,37,0.0,0.0,0.4317,5,2,13.34,5507.8,6.29,1
62142.25,62,26734.47,0.4302,0.0876,3,1,7.18,11180.85,9.15,1
84557.88,32,11755.54,0.139,0.3956,4,0,10.8,10381.91,9.21,1
44634.6,47,0.0,0.0,0.1963,6,0,7.43,10673.82,1.98,0
38830.13,28,31224.47,0.8041,0.2405,0,2,19.12,8450.07,3.63,0
44964.86,43,40192.89,0.8939,0.3238,3,3,4.64,8880.53,6.62,0
73308.04,62,14505.02,0.1979,0.1805,4,3,6.26,25400.5,6.08,1
61575.02,49,40909.45,0.6644,0.5457,6,0,13.87,8617.02,1.6,0
44404.8,40,16095.78,0.3625,0.1972,4,4,12.7,14165.75,5.98,1
65265.35,36,10434.53,0.1599,0.2573,3,1,5.63,12839.67,4.22,0
56941.55,37,7434.5,0.1306,0.0966,5,2,10.99,12582.8,1.94,1
74372.9,36,34644.99,0.4658,0.355,3,1,9.99,15841.9,5.09,0
40958.94,39,5638.27,0.1377,0.0601,4,0,6.74,6936.33,2.84,1
48446.76,28,23823.23,0.4917,0.2294,1,0,8.27,23211.33,4.36,0
47157.84,58,8290.03,0.1758,0.1952,5,0,7.83,4639.57,2.29,0
25729.7,58,9476.32,0.3683,0.1895,3,3,9.57,10683.74,3.92,0
60922.41,49,27363.0,0.4491,0.3241,2,2,6.11,2507.5,1.32,0
60221.11,61,10439.56,0.1734,0.4398,4,0,3.89,19176.32,5.5,1
55102.27,56,10142.46,0.1841,0.014,4,2,2.14,4630.54,10.45,1
50308.26,46,28593.66,0.5684,0.2876,4,1,13.64,18045.6,8.09,0
26692.59,51,34168.77,1.2801,0.3769,1,2,4.14,14119.18,3.65,0
46587.09,64,22736.28,0.488,0.1061,2,2,11.0,13409.51,11.81,0
48145.71,32,7142.76,0.1484,0.2648,8,0,10.46,20929.93,2.7,1
38954.45,37,8872.7,0.2278,0.1698,2,4,8.78,7163.92,6.42,0
51774.29,35,15958.98,0.3082,0.457,9,2,12.03,23735.96,5.57,0
63081.02,29,18851.16,0.2988,0.1725,2,0,17.54,8928.2,2.29,1
92723.72,59,3145.61,0.0339,0.3074,1,1,7.98,15453.68,2.25,0
58491.56,62,23676.46,0.4048,0.2656,1,1,7.61,10452.99,5.06,0
60151.01,32,16026.16,0.2664,0.3148,2,1,9.81,16937.91,7.94,0
53511.08,52,0.0,0.0,0.3437,6,1,9.27,3978.3,3.88,1
16624.58,45,3852.88,0.2318,0.2731,2,2,11.4,12856.92,2.52,0
54469.72,59,8950.46,0.1643,0.3174,5,0,11.77,12145.75,3.35,0
56204.6,38,14125.71,0.2513,0.4084,0,4,8.16,15488.53,5.09,0
104264.84,35,37671.35,0.3613,0.3287,4,4,1.92,15243.78,14.7,1
51152.78,52,17858.06,0.3491,0.4461,4,4,19.65,5115.44,14.79,1
61030.95,26,4910.74,0.0805,0.0838,6,2,16.8,22449.76,3.22,1
54305.76,64,17647.57,0.325,0.3322,4,1,15.07,11539.69,5.28,1
31626.44,63,10774.95,0.3407,0.1499,3,0,14.17,17843.99,4.4,1
77856.46,55,18897.1,0.2427,0.4095,3,2,3.82,1912.94,3.98,0
70038.66,54,21966.81,0.3136,0.1192,1,2,7.02,8682.68,3.46,0
70820.64,58,29510.77,0.4167,0.4837,5,0,6.18,20628.88,6.46,0
36812.25,25,14708.56,0.3996,0.2832,4,0,26.92,25082.79,2.78,1
83055.89,38,34667.53,0.4174,0.4945,1,1,8.18,15394.64,6.93,0
26962.98,36,25896.27,0.9604,0.5508,1,0,16.54,11295.31,3.97,0
66737.14,28,6510.73,0.0976,0.2382,9,3,22.27,3501.9,5.42,1
98809.11,45,41518.27,0.4202,0.2264,5,0,11.17,18378.31,2.05,1
35189.27,52,18923.93,0.5378,0.3199,1,3,19.77,14452.2,11.58,0
43674.05,46,4978.51,0.114,0.2631,3,0,9.18,500.0,2.67,0
56993.03,42,34834.96,0.6112,0.265,1,1,10.96,500.0,2.32,0
44930.49,51,39933.33,0.8888,0.4157,7,1,5.24,14802.13,9.23,0
23986.73,63,14603.7,0.6088,0.4345,3,1,5.86,5342.48,10.21,0
56371.26,30,8956.2,0.1589,0.0985,5,1,7.62,3683.44,7.47,0
33753.93,32,12931.5,0.3831,0.4666,4,0,9.99,11167.61,5.16,1
64471.85,48,23576.78,0.3657,0.0283,6,1,15.59,14745.63,6.33,1
36611.52,26,30334.28,0.8285,0.1599,6,0,7.22,23443.5,9.6,0
85998.69,40,21845.85,0.254,0.3158,4,0,12.28,5460.66,7.22,0
39334.93,25,16220.68,0.4124,0.118,3,0,10.95,15486.47,7.18,0
48558.77,43,32976.14,0.6791,0.2975,3,3,6.64,3787.13,4.64,0
71270.34,29,11245.96,0.1578,0.4258,5,0,3.38,8038.77,6.74,1
30382.71,49,27371.03,0.9009,0.4706,3,1,12.19,13511.14,12.79,0
59549.2,36,11543.25,0.1938,0.2564,3,1,3.35,10818.82,8.28,1
81142.86,42,20172.28,0.2486,0.2833,3,4,7.02,1070.67,10.34,1
22850.34,28,13637.25,0.5968,0.5734,0,0,26.08,16107.64,6.97,0
58692.68,40,14329.77,0.2441,0.1326,2,3,9.53,17929.91,5.55,1
60197.66,34,10471.36,0.1739,0.2883,7,3,5.41,30874.22,3.48,1
70636.46,59,31138.25,0.4408,0.1727,4,1,8.18,13775.31,0.75,0
30260.99,57,6204.89,0.205,0.3402,1,1,13.18,13389.89,5.17,1
28590.87,54,6117.21,0.214,0.6852,2,3,4.66,14426.09,6.94,0
65438.83,31,40451.92,0.6182,0.178,4,4,10.53,1086.7,5.7,1
60939.69,60,26734.17,0.4387,0.3702,5,2,5.0,1634.82,2.72,0
60009.86,53,0.0,0.0,0.3206,1,2,12.35,11339.12,5.67,1
61928.96,51,8216.9,0.1327,0.1591,5,1,19.83,500.0,7.11,1
41399.51,64,0.0,0.0,0.5834,4,2,10.42,2954.24,9.77,1
59645.07,54,3591.71,0.0602,0.3445,4,1,4.42,8019.41,2.86,1
60861.45,27,0.0,0.0,0.1957,7,1,4.96,20070.49,6.07,1
40712.97,43,13356.13,0.3281,0.2524,1,0,16.59,14074.82,3.1,1
92315.49,27,1296.7,0.014,0.1003,6,0,11.12,500.0,6.19,1
64476.66,45,15718.86,0.2438,0.3772,3,1,9.62,11677.81,2.61,0
31173.93,23,0.0,0.0,0.3803,3,0,7.81,16667.53,0.97,1
68131.07,58,15994.94,0.2348,0.3054,2,0,3.72,17713.41,11.14,1
35506.37,40,10021.0,0.2822,0.27,9,0,10.01,20364.08,4.4,1
70741.69,54,33023.44,0.4668,0.3933,7,0,7.8,21584.42,2.75,0
78171.91,64,31936.28,0.4085,0.531,6,0,15.86,16559.23,3.81,1
38586.35,64,24424.15,0.633,0.4576,4,0,11.96,15896.75,1.71,0
74267.52,50,11080.63,0.1492,0.0591,3,0,13.76,13860.44,8.72,1
63255.62,37,38824.56,0.6138,0.1035,2,0,8.33,18739.05,7.29,1
71441.2,30,0.0,0.0,0.2651,7,0,6.86,5697.24,4.18,1
92935.86,55,0.0,0.0,0.3559,4,2,7.19,10364.66,7.04,1
50092.24,40,13994.6,0.2794,0.3499,5,1,11.85,6404.96,5.03,1
39925.28,38,42048.46,1.0532,0.2918,4,3,10.58,15468.38,5.67,0
37209.71,64,12571.93,0.3379,0.1785,3,1,3.19,9929.22,7.91,0
38683.79,47,12801.06,0.3309,0.2645,8,1,24.66,20107.51,9.48,0
53457.97,56,0.0,0.0,0.2603,3,1,14.21,12417.89,2.6,1
61823.04,43,26351.16,0.4262,0.1841,3,2,9.72,20508.16,3.28,1
60533.82,52,26438.12,0.4367,0.0277,6,0,16.14,500.0,3.14,1
71543.66,30,24468.9,0.342,0.1144,5,3,11.64,6241.41,6.87,1
55260.04,31,7449.35,0.1348,0.351,5,2,15.46,19505.35,4.66,0
84070.68,58,6519.52,0.0775,0.2126,5,1,15.78,12162.59,4.79,0
49706.86,26,0.0,0.0,0.2104,2,2,11.76,20447.0,6.3,1
109403.38,61,16006.47,0.1463,0.5565,5,0,6.03,14007.22,2.86,1
67513.35,54,2035.11,0.0301,0.3403,3,1,8.79,4529.17,1.92,0
37856.85,56,871.0,0.023,0.1141,5,1,17.02,26347.54,15.95,1
33582.15,57,9915.71,0.2953,0.0787,7,0,6.35,6692.41,3.62,0
64649.45,37,9130.13,0.1412,0.3659,3,2,2.29,6034.88,6.09,1
50530.74,60,8544.26,0.1691,0.1419,4,2,9.63,18557.51,6.21,1
69280.01,60,20597.34,0.2973,0.0746,7,3,5.89,4708.79,6.0,0
64464.75,32,15948.57,0.2474,0.2557,4,3,12.18,1654.33,5.18,1
53543.42,41,11542.13,0.2156,0.2161,5,0,8.24,5858.73,8.09,1
38064.13,60,17196.16,0.4518,0.4575,2,1,20.86,18561.32,7.37,0
24703.06,39,3101.68,0.1256,0.3284,2,1,8.89,29116.59,2.91,0
46069.7,23,16263.34,0.353,0.2928,1,2,18.78,12039.09,1.97,1
72127.98,38,16807.23,0.233,0.0902,8,2,6.14,6206.81,4.91,0
59281.87,39,0.0,0.0,0.5405,4,1,12.12,21876.84,5.17,1
30085.22,26,26948.33,0.8957,0.4364,5,1,12.75,7077.72,3.61,0
58463.62,36,4422.8,0.0757,0.6887,3,2,11.17,8446.88,6.06,1
62706.35,28,16083.72,0.2565,0.4311,6,3,7.76,15332.69,4.31,0
37322.85,38,28972.94,0.7763,0.2528,4,1,10.64,21128.81,2.17,0
58074.5,63,26108.12,0.4496,0.1769,1,2,15.38,12564.16,3.02,0
56164.17,59,15412.0,0.2744,0.3914,4,1,8.92,9162.27,3.83,0
32140.59,32,10650.01,0.3314,0.4314,3,1,6.43,30570.28,4.06,0
62155.75,30,26370.14,0.4243,0.0621,3,1,6.13,6634.46,5.75,1
66215.69,27,23096.34,0.3488,0.2518,7,0,6.93,7522.13,3.03,1
76661.02,21,7579.62,0.0989,0.059,3,0,4.26,8893.44,2.17,1
76076.04,56,5461.28,0.0718,0.2599,3,0,5.92,16409.11,9.17,1
27446.61,41,0.0,0.0,0.4507,5,0,2.95,8263.07,5.24,1
36243.5,57,16848.38,0.4649,0.4259,8,0,5.03,18538.05,2.28,0
65300.71,44,14007.63,0.2145,0.0328,5,1,5.07,11585.6,1.48,1
65275.72,45,28634.3,0.4387,0.3123,0,1,4.09,9447.52,17.63,0
65300.95,27,19308.66,0.2957,0.0879,8,1,10.68,7504.06,14.39,0
132054.63,62,31010.75,0.2348,0.1302,7,0,17.63,11798.94,13.36,1
66417.81,37,6631.63,0.0998,0.3232,4,2,14.94,15576.95,3.33,0
77711.31,49,28657.8,0.3688,0.2394,4,1,7.73,11718.94,12.71,1
74080.04,50,8653.0,0.1168,0.1151,2,1,17.77,13860.15,6.9,1
68027.83,27,24331.15,0.3577,0.2986,7,1,11.38,5798.71,12.54,1
48694.62,53,0.0,0.0,0.3063,2,1,5.83,6272.12,2.56,0
70179.38,27,17821.62,0.2539,0.1018,6,3,8.52,11961.89,4.14,0
39543.5,44,0.0,0.0,0.3206,3,0,16.3,12956.64,4.16,1
50263.63,31,11794.35,0.2346,0.2949,3,3,8.35,12382.23,2.05,0
45292.73,29,20284.25,0.4478,0.4364,6,3,5.86,7277.47,4.64,0
56637.48,32,8748.38,0.1545,0.4863,4,0,5.9,12583.03,2.94,1
101293.17,55,2394.75,0.0236,0.2566,1,2,18.23,12203.31,9.87,1
17654.7,24,25153.42,1.4247,0.3878,6,3,14.59,11030.72,8.65,0
68725.2,56,13758.45,0.2002,0.2533,5,3,6.77,6782.4,12.2,0
22745.68,48,9125.15,0.4012,0.2325,9,0,7.05,16154.01,4.07,0
45561.36,33,15502.75,0.3403,0.4191,6,1,4.86,11905.28,2.02,0
76779.01,43,46640.03,0.6075,0.4387,3,1,5.24,5997.98,2.84,0
56285.6,39,28842.03,0.5124,0.2885,1,0,13.87,11000.14,4.3,1
33445.1,62,28950.88,0.8656,0.4582,4,2,6.62,7337.95,9.5,0
40693.93,57,20226.56,0.497,0.2835,3,1,6.34,12025.25,9.51,0
68591.95,59,16997.82,0.2478,0.1266,7,1,10.19,23426.1,11.02,1
40392.67,44,0.0,0.0,0.2756,4,2,10.53,13182.97,5.01,1
59329.17,36,6852.24,0.1155,0.2225,3,2,17.14,13611.8,1.32,0
55911.44,53,9233.11,0.1651,0.3472,3,2,7.28,23394.59,3.94,1
41967.99,32,0.0,0.0,0.201,3,0,8.66,14168.57,6.67,1
97878.88,54,1111.01,0.0114,0.335,11,1,8.35,15469.86,9.68,1
67678.38,27,0.0,0.0,0.2671,6,1,9.66,13154.64,4.46,1
14497.15,31,14540.11,1.003,0.3571,5,1,3.41,8922.12,3.41,0
58729.09,51,24825.19,0.4227,0.2433,2,0,10.27,15584.7,4.16,0
41764.27,49,28281.29,0.6772,0.0149,3,1,13.23,25617.32,6.34,0
72048.67,33,19977.41,0.2773,0.2376,9,1,10.11,1433.25,9.27,1
39149.59,51,3439.24,0.0878,0.1953,5,0,3.43,8342.36,5.15,0
52705.27,22,0.0,0.0,0.6974,6,1,16.3,5176.02,7.26,1
65099.75,59,0.0,0.0,0.5036,6,0,13.05,6069.86,4.44,1
72315.1,35,0.0,0.0,0.2305,5,1,17.21,21787.5,1.7,1
30994.07,31,4333.68,0.1398,0.3263,2,3,11.63,10734.13,8.27,0
48309.98,54,13083.02,0.2708,0.1313,3,1,7.9,17783.73,18.18,0
45501.09,59,2830.03,0.0622,0.1997,1,0,32.16,6663.75,7.89,1
41933.42,24,19067.71,0.4547,0.2487,3,4,8.98,6841.23,7.36,0
90309.08,31,12212.72,0.1352,0.6766,3,3,13.89,3858.5,10.08,0
63099.63,49,15126.55,0.2397,0.1105,5,0,9.24,23560.34,9.47,1
29782.32,22,28683.01,0.9631,0.4218,3,1,13.4,18200.88,6.39,0
73357.24,36,837.22,0.0114,0.3788,5,0,7.24,3595.92,2.83,1
97443.12,59,20024.45,0.2055,0.1564,4,0,16.75,21138.14,5.26,1
75649.31,33,14832.32,0.1961,0.4976,3,2,12.5,9924.0,2.51,1
24612.6,57,10998.16,0.4469,0.3812,0,2,14.81,15625.74,3.54,0
45315.32,37,25623.08,0.5654,0.3982,2,3,7.93,12376.09,9.51,1
80338.22,41,25548.17,0.318,0.3344,5,1,7.63,507.03,4.72,1
40846.61,64,3642.11,0.0892,0.3599,3,1,10.07,5378.05,5.77,1
63876.39,39,12814.07,0.2006,0.1818,4,1,4.99,22831.55,6.41,1
70492.68,27,18374.54,0.2607,0.4242,4,0,12.12,19514.4,5.56,1
36461.39,58,11723.92,0.3215,0.4565,2,2,9.97,3826.73,4.89,0
53809.49,28,22020.26,0.4092,0.1895,4,2,17.78,13663.87,11.12,1
12000.0,33,18374.3,1.5312,0.4088,4,2,13.03,10282.82,3.68,0
34512.25,57,36990.73,1.0718,0.204,0,2,10.81,21135.63,17.39,0
49948.64,22,0.0,0.0,0.2832,1,0,6.22,10360.99,1.18,0
30044.34,61,13530.77,0.4504,0.1593,3,1,13.58,5854.68,3.99,0
87648.23,31,4097.97,0.0468,0.1496,3,1,12.88,17896.71,6.59,1
26397.17,44,22249.29,0.8429,0.22,0,1,7.24,21512.84,6.86,0
46199.11,26,0.0,0.0,0.2758,2,2,17.76,15148.33,2.67,1
57614.81,46,19155.75,0.3325,0.1382,5,0,5.71,16576.82,3.99,1
83825.47,27,7439.42,0.0887,0.3428,2,1,13.55,2438.6,9.68,1
26282.76,59,6190.06,0.2355,0.1258,1,0,16.89,1776.66,7.05,1
78263.28,39,0.0,0.0,0.3065,3,1,7.32,1200.02,6.22,1
55204.66,26,9419.09,0.1706,0.3642,3,0,14.38,20406.35,2.63,1
35369.83,63,28014.01,0.792,0.2164,5,0,12.42,8902.14,3.9,1
64242.07,49,14697.74,0.2288,0.4731,5,0,14.11,18610.4,5.34,1
58981.19,63,22532.17,0.382,0.2806,5,0,7.13,7197.96,6.94,0
42995.66,59,34975.7,0.8135,0.2805,2,0,12.8,11883.65,3.99,0
56396.04,22,18165.07,0.3221,0.3837,4,1,7.34,5554.52,3.65,1
47293.73,39,8294.41,0.1754,0.3383,9,1,7.46,9379.44,5.81,1
57270.35,24,20607.03,0.3598,0.2836,2,1,11.85,500.0,6.81,1
68242.61,26,8468.45,0.1241,0.0851,2,3,5.33,9458.83,2.97,1
86720.34,57,8946.93,0.1032,0.3169,3,1,16.66,8752.44,2.52,1
30243.69,48,0.0,0.0,0.0562,2,1,9.13,500.0,3.86,1
97660.67,50,26115.09,0.2674,0.1614,4,2,7.32,15398.31,8.57,1
15958.24,27,10367.97,0.6497,0.1111,8,0,10.18,16594.26,3.56,0
51964.3,29,17185.18,0.3307,0.3328,4,2,6.71,6703.68,3.94,0
66766.34,45,2568.46,0.0385,0.2039,2,2,8.2,2358.11,2.36,1
60619.84,53,20231.37,0.3337,0.3032,2,1,7.74,25843.21,3.81,1
42546.01,21,5856.71,0.1377,0.1214,3,1,7.42,14049.3,3.32,0
50837.55,26,13299.5,0.2616,0.1723,6,1,9.28,500.0,16.16,1
45139.98,38,25533.91,0.5657,0.1249,4,1,4.28,8573.38,6.22,0
43212.7,30,24489.11,0.5667,0.5796,3,3,7.63,6787.24,6.52,0
71992.04,48,14735.64,0.2047,0.152,2,1,16.02,6196.43,10.32,1
62140.31,31,0.0,0.0,0.1642,1,3,11.18,20737.49,3.59,1
41141.81,53,50913.73,1.2375,0.4909,1,2,21.43,14023.63,1.03,0
72992.0,21,35950.31,0.4925,0.3187,4,0,8.47,17082.47,8.66,0
61145.99,33,23672.1,0.3871,0.3394,3,2,5.67,10896.75,3.12,0
71257.24,57,5961.55,0.0837,0.1742,7,1,5.81,18826.81,7.57,1
67592.58,40,13636.89,0.2018,0.3371,8,1,11.45,9013.57,5.58,0
38420.1,21,8478.95,0.2207,0.1995,3,2,10.0,13862.77,10.76,0
43796.38,23,30166.27,0.6888,0.3318,5,1,28.04,15898.42,11.99,1
69945.87,38,18150.03,0.2595,0.4022,5,1,9.62,7016.58,5.25,0
67207.41,61,5590.03,0.0832,0.2365,1,1,15.35,500.0,1.7,1
54581.97,34,9350.94,0.1713,0.5332,3,0,15.11,500.0,3.81,0
57346.55,51,28454.26,0.4962,0.3684,4,2,6.86,30495.24,9.88,1
80553.3,47,34201.17,0.4246,0.248,4,2,22.3,17208.99,3.63,1
43168.57,37,33339.98,0.7723,0.667,1,1,12.86,17585.5,3.12,0
65941.95,49,24084.38,0.3652,0.0755,3,0,11.21,23371.82,9.21,1
50956.15,56,11968.5,0.2349,0.1599,5,1,10.44,3000.73,4.01,1
50646.38,57,0.0,0.0,0.3566,2,2,11.1,6205.57,11.54,1
76975.54,46,18565.92,0.2412,0.3034,3,1,9.28,3161.66,0.7,0
71508.33,37,14978.05,0.2095,0.0262,4,0,8.54,30852.69,5.73,1
71270.19,42,16679.79,0.234,0.2452,3,0,7.87,4017.3,10.83,1
81109.58,45,15646.77,0.1929,0.3792,4,2,10.63,22033.98,11.25,0
55420.08,22,0.0,0.0,0.2671,6,1,4.9,6728.75,1.73,1
68639.06,42,21688.9,0.316,0.4944,3,1,15.28,12682.4,3.99,0
48794.66,25,22586.6,0.4629,0.1824,5,0,7.79,22162.52,7.39,1
61483.33,24,23188.07,0.3771,0.5541,5,3,3.82,14287.94,2.9,0
52397.14,56,26358.92,0.5031,0.2207,2,1,21.92,10946.8,6.23,1
56939.92,26,22248.62,0.3907,0.4021,3,1,8.58,30147.05,7.92,0
66903.14,41,10079.65,0.1507,0.1827,4,0,12.49,500.0,10.12,1
38635.59,33,14149.96,0.3662,0.6901,5,2,7.73,4447.37,8.62,0
96847.75,57,16093.5,0.1662,0.1935,3,1,6.6,9523.12,8.82,1
34879.65,45,16292.39,0.4671,0.4803,4,1,28.82,20354.22,4.81,1
30716.23,46,26978.61,0.8783,0.2654,5,2,13.05,7970.97,8.02,0
78162.22,59,22724.03,0.2907,0.6442,8,0,13.33,19741.73,6.27,1
70833.25,40,39928.12,0.5637,0.1429,2,0,7.98,500.0,3.11,1
67482.4,53,41477.63,0.6146,0.3841,1,0,10.55,21186.27,6.21,0
67566.91,34,15955.79,0.2361,0.6305,3,0,5.79,19148.53,3.99,1
54755.06,56,0.0,0.0,0.2863,5,3,6.14,3402.02,3.69,1
37054.91,37,29841.99,0.8053,0.3096,5,2,4.85,11724.04,3.98,0
56516.09,41,8515.48,0.1507,0.2322,2,1,9.86,9844.73,0.51,1
41456.77,36,5382.19,0.1298,0.0364,5,0,9.55,15601.31,12.15,1
74502.39,36,10218.66,0.1372,0.0828,7,0,12.13,21289.4,3.87,1
52058.85,40,9640.28,0.1852,0.4258,5,1,8.3,6535.71,1.73,0
38490.06,49,22347.24,0.5806,0.2131,3,0,12.66,14955.78,4.39,0
48572.28,48,0.0,0.0,0.1575,7,0,11.31,13965.05,7.56,1
63258.63,28,2067.35,0.0327,0.8334,2,3,14.28,12999.82,6.25,0
43725.51,44,19117.9,0.4372,0.1069,3,2,5.24,23642.72,4.45,0
38555.59,23,22475.33,0.5829,0.2034,2,1,2.62,13284.34,8.29,0
